ref_perturbation,ref_target,num_ha_perturbed,newlig1_smi,newlig2_smi,input_smarts
32~27,cdk8,7,NC(=O)c1ccccc1,CC(=O)NCCNc1ccccc1,c[1*]C(N)=O~c[1*]NCCNC(C)=O
27~32,cdk8,7,CC(=O)NCCNc1ccccc1,NC(=O)c1ccccc1,c[1*]NCCNC(C)=O~c[1*]C(N)=O
32~31,cdk8,7,NCc1ccccc1,O[C@@H]1CCN(Cc2ccccc2)C1,C[1*]N~C[1*]N1CC[C@@H](O)C1
31~32,cdk8,7,O[C@@H]1CCN(Cc2ccccc2)C1,NCc1ccccc1,C[1*]N1CC[C@@H](O)C1~C[1*]N
32~23,cdk8,7,NC(=O)c1ccccc1,Nc1ccnc(-c2ccccc2)c1,c[1*]C(N)=O~c[1*]c1cc(N)ccn1
23~32,cdk8,7,Nc1ccnc(-c2ccccc2)c1,NC(=O)c1ccccc1,c[1*]c1cc(N)ccn1~c[1*]C(N)=O
32~19,cdk8,1,c1ccccc1,CNc1ccccc1,~N[1*]C
19~32,cdk8,1,CNc1ccccc1,c1ccccc1,N[1*]C~
33~40,cdk8,6,c1ccc(CNC2CC2)cc1,c1ccc(CN2CCNCC2)cc1,C[1*]NC1CC1~C[1*]N1CCNCC1
40~33,cdk8,6,c1ccc(CN2CCNCC2)cc1,c1ccc(CNC2CC2)cc1,C[1*]N1CCNCC1~C[1*]NC1CC1
33~18,cdk8,9,Cn1cc(-c2ccccc2NC2CC2)cn1,CNc1cccc2c1cnn2C,c[1*]c1cnn(C)c1.N[2*]C1CC1~N[3*]C.c[1*]:cnn(:[2*])C
18~33,cdk8,9,CNc1cccc2c1cnn2C,Cn1cc(-c2ccccc2NC2CC2)cn1,N[3*]C.c[1*]:cnn(:[2*])C~c[1*]c1cnn(C)c1.N[2*]C1CC1
33~35,cdk8,5,c1ccc(CNC2CC2)cc1,OC1CN(Cc2ccccc2)C1,C[1*]NC1CC1~C[1*]N1CC(O)C1
35~33,cdk8,5,OC1CN(Cc2ccccc2)C1,c1ccc(CNC2CC2)cc1,C[1*]N1CC(O)C1~C[1*]NC1CC1
33~30,cdk8,7,c1ccc(CNC2CC2)cc1,O[C]1CCN(Cc2ccccc2)C1,C[1*]NC1CC1~C[1*]N1CC[C@H](O)C1
30~33,cdk8,7,O[C]1CCN(Cc2ccccc2)C1,c1ccc(CNC2CC2)cc1,C[1*]N1CC[C@H](O)C1~C[1*]NC1CC1
33~24,cdk8,6,O=C(NC1CC1)c1ccccc1,CC(=O)Nc1ccccc1,c[1*]C(=O)NC1CC1~c[1*]NC(C)=O
24~33,cdk8,6,CC(=O)Nc1ccccc1,O=C(NC1CC1)c1ccccc1,c[1*]NC(C)=O~c[1*]C(=O)NC1CC1
33~25,cdk8,6,O=C(NC1CC1)c1ccccc1,CS(=O)(=O)Nc1ccccc1,c[1*]C(=O)NC1CC1~c[1*]NS(C)(=O)=O
25~33,cdk8,6,CS(=O)(=O)Nc1ccccc1,O=C(NC1CC1)c1ccccc1,c[1*]NS(C)(=O)=O~c[1*]C(=O)NC1CC1
33~41,cdk8,6,c1ccc(CNC2CC2)cc1,c1ccc(CN2CCCCC2)cc1,C[1*]NC1CC1~C[1*]N1CCCCC1
41~33,cdk8,6,c1ccc(CN2CCCCC2)cc1,c1ccc(CNC2CC2)cc1,C[1*]N1CCCCC1~C[1*]NC1CC1
33~36,cdk8,6,c1ccc(CNC2CC2)cc1,COC1CN(Cc2ccccc2)C1,C[1*]NC1CC1~C[1*]N1CC(OC)C1
36~33,cdk8,6,COC1CN(Cc2ccccc2)C1,c1ccc(CNC2CC2)cc1,C[1*]N1CC(OC)C1~C[1*]NC1CC1
33~28,cdk8,1,O=C(NC1CC1)c1ccccc1,c1ccc(N2CCOCC2)cc1,c[1*]C(=O)NC1CC1~c[1*]N1CCOCC1
28~33,cdk8,1,c1ccc(N2CCOCC2)cc1,O=C(NC1CC1)c1ccccc1,c[1*]N1CCOCC1~c[1*]C(=O)NC1CC1
33~20,cdk8,5,c1ccc(NC2CC2)cc1,CNc1ccccc1CC(C)(C)O,N[1*]C1CC1~N[2*]C.C[1*]C(C)(C)O
20~33,cdk8,5,CNc1ccccc1CC(C)(C)O,c1ccc(NC2CC2)cc1,N[2*]C.C[1*]C(C)(C)O~N[1*]C1CC1
33~16,cdk8,9,Cn1cc(-c2ccccc2NC2CC2)cn1,CNc1ccccc1C,c[1*]c1cnn(C)c1.N[2*]C1CC1~N[2*]C.c[1*]C
16~33,cdk8,9,CNc1ccccc1C,Cn1cc(-c2ccccc2NC2CC2)cn1,N[2*]C.c[1*]C~c[1*]c1cnn(C)c1.N[2*]C1CC1
33~15,cdk8,10,Cn1cc(-c2ccccc2NC2CC2)cn1,CNc1cccc(OC)c1OC,c[1*]c1cnn(C)c1.N[2*]C1CC1~N[3*]C.c[1*]OC.c[2*]OC
15~33,cdk8,10,CNc1cccc(OC)c1OC,Cn1cc(-c2ccccc2NC2CC2)cn1,N[3*]C.c[1*]OC.c[2*]OC~c[1*]c1cnn(C)c1.N[2*]C1CC1
33~26,cdk8,1,O=C(NC1CC1)c1ccccc1,O=C1CCCN1c1ccccc1,c[1*]C(=O)NC1CC1~c[1*]N1CCCC1=O
26~33,cdk8,1,O=C1CCCN1c1ccccc1,O=C(NC1CC1)c1ccccc1,c[1*]N1CCCC1=O~c[1*]C(=O)NC1CC1
33~17,cdk8,9,Cn1cc(-c2ccccc2NC2CC2)cn1,CNc1cccc2cnn(C)c12,c[1*]c1cnn(C)c1.N[2*]C1CC1~N[3*]C.c[1*]:n(C)nc:[2*]
17~33,cdk8,9,CNc1cccc2cnn(C)c12,Cn1cc(-c2ccccc2NC2CC2)cn1,N[3*]C.c[1*]:n(C)nc:[2*]~c[1*]c1cnn(C)c1.N[2*]C1CC1
33~29,cdk8,7,O=C(NC1CC1)c1ccccc1,O=S(=O)(NC1CC1)c1ccccc1,c[1*]C(=O)NC1CC1~c[1*]S(=O)(=O)NC1CC1
29~33,cdk8,7,O=S(=O)(NC1CC1)c1ccccc1,O=C(NC1CC1)c1ccccc1,c[1*]S(=O)(=O)NC1CC1~c[1*]C(=O)NC1CC1
33~21,cdk8,1,O=C(NC1CC1)c1ccccc1,Cn1cnc(-c2ccccc2)c1,c[1*]C(=O)NC1CC1~c[1*]c1cn(C)cn1
21~33,cdk8,1,Cn1cnc(-c2ccccc2)c1,O=C(NC1CC1)c1ccccc1,c[1*]c1cn(C)cn1~c[1*]C(=O)NC1CC1
33~37,cdk8,5,c1ccc(CNC2CC2)cc1,c1ccc(CN2CCCC2)cc1,C[1*]NC1CC1~C[1*]N1CCCC1
37~33,cdk8,5,c1ccc(CN2CCCC2)cc1,c1ccc(CNC2CC2)cc1,C[1*]N1CCCC1~C[1*]NC1CC1
33~34,cdk8,6,c1ccc(CNC2CC2)cc1,FC1(F)CN(Cc2ccccc2)C1,C[1*]NC1CC1~C[1*]N1CC(F)(F)C1
34~33,cdk8,6,FC1(F)CN(Cc2ccccc2)C1,c1ccc(CNC2CC2)cc1,C[1*]N1CC(F)(F)C1~C[1*]NC1CC1
33~39,cdk8,6,c1ccc(CNC2CC2)cc1,c1ccc(CN2CCOCC2)cc1,C[1*]NC1CC1~C[1*]N1CCOCC1
39~33,cdk8,6,c1ccc(CN2CCOCC2)cc1,c1ccc(CNC2CC2)cc1,C[1*]N1CCOCC1~C[1*]NC1CC1
33~22,cdk8,1,O=C(NC1CC1)c1ccccc1,Cn1ccnc1-c1ccccc1,c[1*]C(=O)NC1CC1~c[1*]c1nccn1C
22~33,cdk8,1,Cn1ccnc1-c1ccccc1,O=C(NC1CC1)c1ccccc1,c[1*]c1nccn1C~c[1*]C(=O)NC1CC1
33~38,cdk8,7,c1ccc(CNC2CC2)cc1,FC1(F)CCN(Cc2ccccc2)C1,C[1*]NC1CC1~C[1*]N1CCC(F)(F)C1
38~33,cdk8,7,FC1(F)CCN(Cc2ccccc2)C1,c1ccc(CNC2CC2)cc1,C[1*]N1CCC(F)(F)C1~C[1*]NC1CC1
33~27,cdk8,7,O=C(NC1CC1)c1ccccc1,CC(=O)NCCNc1ccccc1,c[1*]C(=O)NC1CC1~c[1*]NCCNC(C)=O
27~33,cdk8,7,CC(=O)NCCNc1ccccc1,O=C(NC1CC1)c1ccccc1,c[1*]NCCNC(C)=O~c[1*]C(=O)NC1CC1
33~31,cdk8,7,c1ccc(CNC2CC2)cc1,O[C@@H]1CCN(Cc2ccccc2)C1,C[1*]NC1CC1~C[1*]N1CC[C@@H](O)C1
31~33,cdk8,7,O[C@@H]1CCN(Cc2ccccc2)C1,c1ccc(CNC2CC2)cc1,C[1*]N1CC[C@@H](O)C1~C[1*]NC1CC1
33~23,cdk8,7,O=C(NC1CC1)c1ccccc1,Nc1ccnc(-c2ccccc2)c1,c[1*]C(=O)NC1CC1~c[1*]c1cc(N)ccn1
23~33,cdk8,7,Nc1ccnc(-c2ccccc2)c1,O=C(NC1CC1)c1ccccc1,c[1*]c1cc(N)ccn1~c[1*]C(=O)NC1CC1
33~19,cdk8,3,c1ccc(NC2CC2)cc1,CNc1ccccc1,N[1*]C1CC1~N[1*]C
19~33,cdk8,3,CNc1ccccc1,c1ccc(NC2CC2)cc1,N[1*]C~N[1*]C1CC1
40~35,cdk8,5,c1ccc2c(c1)CCNC2,OC1Cc2ccccc2C1,N[1*]CCNCC[2*]~N[1*]CC(O)C[2*]
35~40,cdk8,5,OC1Cc2ccccc2C1,c1ccc2c(c1)CCNC2,N[1*]CC(O)C[2*]~N[1*]CCNCC[2*]
40~30,cdk8,6,c1ccc2c(c1)CCNC2,OC1Cc2ccccc2C1,N[1*]CCNCC[2*]~N[1*]C[C@@H](O)CC[2*]
30~40,cdk8,6,OC1Cc2ccccc2C1,c1ccc2c(c1)CCNC2,N[1*]C[C@@H](O)CC[2*]~N[1*]CCNCC[2*]
40~24,cdk8,8,O=C(c1ccccc1)N1CCNCC1,CC(=O)Nc1ccccc1,c[1*]C(=O)N1CCNCC1~c[1*]NC(C)=O
24~40,cdk8,8,CC(=O)Nc1ccccc1,O=C(c1ccccc1)N1CCNCC1,c[1*]NC(C)=O~c[1*]C(=O)N1CCNCC1
40~25,cdk8,8,O=C(c1ccccc1)N1CCNCC1,CS(=O)(=O)Nc1ccccc1,c[1*]C(=O)N1CCNCC1~c[1*]NS(C)(=O)=O
25~40,cdk8,8,CS(=O)(=O)Nc1ccccc1,O=C(c1ccccc1)N1CCNCC1,c[1*]NS(C)(=O)=O~c[1*]C(=O)N1CCNCC1
40~41,cdk8,1,c1ccc2c(c1)CCNC2,c1ccc2c(c1)CCCC2,N[1*]CCNCC[2*]~N[1*]CCCCC[2*]
41~40,cdk8,1,c1ccc2c(c1)CCCC2,c1ccc2c(c1)CCNC2,N[1*]CCCCC[2*]~N[1*]CCNCC[2*]
40~28,cdk8,8,O=C(c1ccccc1)N1CCNCC1,c1ccc(N2CCOCC2)cc1,c[1*]C(=O)N1CCNCC1~c[1*]N1CCOCC1
28~40,cdk8,8,c1ccc(N2CCOCC2)cc1,O=C(c1ccccc1)N1CCNCC1,c[1*]N1CCOCC1~c[1*]C(=O)N1CCNCC1
40~20,cdk8,8,c1ccc(CN2CCNCC2)cc1,CNCc1ccccc1CC(C)(C)O,C[1*]N1CCNCC1~C[2*]NC.C[1*]C(C)(C)O
20~40,cdk8,8,CNCc1ccccc1CC(C)(C)O,c1ccc(CN2CCNCC2)cc1,C[2*]NC.C[1*]C(C)(C)O~C[1*]N1CCNCC1
40~26,cdk8,8,O=C(c1ccccc1)N1CCNCC1,O=C1CCCN1c1ccccc1,c[1*]C(=O)N1CCNCC1~c[1*]N1CCCC1=O
26~40,cdk8,8,O=C1CCCN1c1ccccc1,O=C(c1ccccc1)N1CCNCC1,c[1*]N1CCCC1=O~c[1*]C(=O)N1CCNCC1
40~29,cdk8,8,O=C(c1ccccc1)N1CCNCC1,O=S(=O)(NC1CC1)c1ccccc1,c[1*]C(=O)N1CCNCC1~c[1*]S(=O)(=O)NC1CC1
29~40,cdk8,8,O=S(=O)(NC1CC1)c1ccccc1,O=C(c1ccccc1)N1CCNCC1,c[1*]S(=O)(=O)NC1CC1~c[1*]C(=O)N1CCNCC1
40~21,cdk8,8,O=C(c1ccccc1)N1CCNCC1,Cn1cnc(-c2ccccc2)c1,c[1*]C(=O)N1CCNCC1~c[1*]c1cn(C)cn1
21~40,cdk8,8,Cn1cnc(-c2ccccc2)c1,O=C(c1ccccc1)N1CCNCC1,c[1*]c1cn(C)cn1~c[1*]C(=O)N1CCNCC1
40~37,cdk8,5,c1ccc2c(c1)CCNC2,c1ccc2c(c1)CCCC2,N[1*]CCNCC[2*]~N[1*]CCCC[2*]
37~40,cdk8,5,c1ccc2c(c1)CCCC2,c1ccc2c(c1)CCNC2,N[1*]CCCC[2*]~N[1*]CCNCC[2*]
40~34,cdk8,1,c1ccc2c(c1)CCNC2,FC1(F)Cc2ccccc2C1,N[1*]CCNCC[2*]~N[1*]CC(F)(F)C[2*]
34~40,cdk8,1,FC1(F)Cc2ccccc2C1,c1ccc2c(c1)CCNC2,N[1*]CC(F)(F)C[2*]~N[1*]CCNCC[2*]
40~39,cdk8,1,c1ccc2c(c1)CCNC2,c1ccc2c(c1)CCOC2,N[1*]CCNCC[2*]~N[1*]CCOCC[2*]
39~40,cdk8,1,c1ccc2c(c1)CCOC2,c1ccc2c(c1)CCNC2,N[1*]CCOCC[2*]~N[1*]CCNCC[2*]
40~22,cdk8,8,O=C(c1ccccc1)N1CCNCC1,Cn1ccnc1-c1ccccc1,c[1*]C(=O)N1CCNCC1~c[1*]c1nccn1C
22~40,cdk8,8,Cn1ccnc1-c1ccccc1,O=C(c1ccccc1)N1CCNCC1,c[1*]c1nccn1C~c[1*]C(=O)N1CCNCC1
40~38,cdk8,6,c1ccc2c(c1)CCNC2,FC1(F)CCc2ccccc2C1,N[1*]CCNCC[2*]~N[1*]CCC(F)(F)C[2*]
38~40,cdk8,6,FC1(F)CCc2ccccc2C1,c1ccc2c(c1)CCNC2,N[1*]CCC(F)(F)C[2*]~N[1*]CCNCC[2*]
40~27,cdk8,8,O=C(c1ccccc1)N1CCNCC1,CC(=O)NCCNc1ccccc1,c[1*]C(=O)N1CCNCC1~c[1*]NCCNC(C)=O
27~40,cdk8,8,CC(=O)NCCNc1ccccc1,O=C(c1ccccc1)N1CCNCC1,c[1*]NCCNC(C)=O~c[1*]C(=O)N1CCNCC1
40~31,cdk8,6,c1ccc2c(c1)CCNC2,OC1Cc2ccccc2C1,N[1*]CCNCC[2*]~N[1*]CC[C@@H](O)C[2*]
31~40,cdk8,6,OC1Cc2ccccc2C1,c1ccc2c(c1)CCNC2,N[1*]CC[C@@H](O)C[2*]~N[1*]CCNCC[2*]
40~23,cdk8,8,O=C(c1ccccc1)N1CCNCC1,Nc1ccnc(-c2ccccc2)c1,c[1*]C(=O)N1CCNCC1~c[1*]c1cc(N)ccn1
23~40,cdk8,8,Nc1ccnc(-c2ccccc2)c1,O=C(c1ccccc1)N1CCNCC1,c[1*]c1cc(N)ccn1~c[1*]C(=O)N1CCNCC1
40~19,cdk8,6,c1ccc(CN2CCNCC2)cc1,CNCc1ccccc1,C[1*]N1CCNCC1~C[1*]NC
19~40,cdk8,6,CNCc1ccccc1,c1ccc(CN2CCNCC2)cc1,C[1*]NC~C[1*]N1CCNCC1
44~18,cdk8,5,OC1CN(Cc2ccccc2)C1,CNCc1ccccc1,C[1*]N1CC(O)C1~C[1*]NC
18~44,cdk8,5,CNCc1ccccc1,OC1CN(Cc2ccccc2)C1,C[1*]NC~C[1*]N1CC(O)C1
44~35,cdk8,6,Cn1ncc2ccccc21,Cn1cc(-c2ccccc2)cn1,c[1*]:cnn(:[2*])C~c[1*]c1cnn(C)c1
35~44,cdk8,6,Cn1cc(-c2ccccc2)cn1,Cn1ncc2ccccc21,c[1*]c1cnn(C)c1~c[1*]:cnn(:[2*])C
44~36,cdk8,7,Cn1ncc2ccccc21,COc1ccccc1-c1cnn(C)c1,c[1*]:cnn(:[2*])C~c[1*]c1cnn(C)c1.O[2*]C
36~44,cdk8,7,COc1ccccc1-c1cnn(C)c1,Cn1ncc2ccccc21,c[1*]c1cnn(C)c1.O[2*]C~c[1*]:cnn(:[2*])C
44~16,cdk8,9,Cn1ncc2c(CN3CC(O)C3)cccc21,CNCc1ccccc1C,C[3*]N1CC(O)C1.c[1*]:cnn(:[2*])C~C[2*]NC.c[1*]C
16~44,cdk8,9,CNCc1ccccc1C,Cn1ncc2c(CN3CC(O)C3)cccc21,C[2*]NC.c[1*]C~C[3*]N1CC(O)C1.c[1*]:cnn(:[2*])C
44~17,cdk8,6,Cn1ncc2c(CN3CC(O)C3)cccc21,CNCc1cccc2cnn(C)c12,C[3*]N1CC(O)C1.c[1*]:cnn(:[2*])C~C[3*]NC.c[1*]:n(C)nc:[2*]
17~44,cdk8,6,CNCc1cccc2cnn(C)c12,Cn1ncc2c(CN3CC(O)C3)cccc21,C[3*]NC.c[1*]:n(C)nc:[2*]~C[3*]N1CC(O)C1.c[1*]:cnn(:[2*])C
44~45,cdk8,1,c1ccccc1,COc1ccccc1,~O[1*]C
45~44,cdk8,1,COc1ccccc1,c1ccccc1,O[1*]C~
44~43,cdk8,6,OC1Cc2ccccc2C1,FC1(F)CCc2ccccc2C1,N[1*]CC(O)C[2*]~N[1*]CC(F)(F)CC[2*]
43~44,cdk8,6,FC1(F)CCc2ccccc2C1,OC1Cc2ccccc2C1,N[1*]CC(F)(F)CC[2*]~N[1*]CC(O)C[2*]
44~29,cdk8,7,Cn1ncc2c(C(=O)N3CC(O)C3)cccc21,Cn1cc(-c2ccccc2S(=O)(=O)NC2CC2)cn1,c[1*]C(=O)N1CC(O)C1.c[2*]:cnn(:[3*])C~c[1*]S(=O)(=O)NC1CC1.c[2*]c1cnn(C)c1
29~44,cdk8,7,Cn1cc(-c2ccccc2S(=O)(=O)NC2CC2)cn1,Cn1ncc2c(C(=O)N3CC(O)C3)cccc21,c[1*]S(=O)(=O)NC1CC1.c[2*]c1cnn(C)c1~c[1*]C(=O)N1CC(O)C1.c[2*]:cnn(:[3*])C
44~34,cdk8,8,Cn1ncc2c(O)cccc21,Cn1cc(-c2cccc(CF)c2CF)cn1,c[1*]:cnn(:[2*])C.c[3*]O~c[1*]c1cnn(C)c1.C[2*]F.C[3*]F
34~44,cdk8,8,Cn1cc(-c2cccc(CF)c2CF)cn1,Cn1ncc2c(O)cccc21,c[1*]c1cnn(C)c1.C[2*]F.C[3*]F~c[1*]:cnn(:[2*])C.c[3*]O
44~27,cdk8,7,Cn1ncc2c(C(=O)N3CC(O)C3)cccc21,CC(=O)NCCNc1ccccc1-c1cnn(C)c1,c[1*]C(=O)N1CC(O)C1.c[2*]:cnn(:[3*])C~c[1*]NCCNC(C)=O.c[2*]c1cnn(C)c1
27~44,cdk8,7,CC(=O)NCCNc1ccccc1-c1cnn(C)c1,Cn1ncc2c(C(=O)N3CC(O)C3)cccc21,c[1*]NCCNC(C)=O.c[2*]c1cnn(C)c1~c[1*]C(=O)N1CC(O)C1.c[2*]:cnn(:[3*])C
44~23,cdk8,7,Cn1ncc2c(C(=O)N3CC(O)C3)cccc21,Cn1cc(-c2ccccc2-c2cc(N)ccn2)cn1,c[1*]C(=O)N1CC(O)C1.c[2*]:cnn(:[3*])C~c[1*]c1cc(N)ccn1.c[2*]c1cnn(C)c1
23~44,cdk8,7,Cn1cc(-c2ccccc2-c2cc(N)ccn2)cn1,Cn1ncc2c(C(=O)N3CC(O)C3)cccc21,c[1*]c1cc(N)ccn1.c[2*]c1cnn(C)c1~c[1*]C(=O)N1CC(O)C1.c[2*]:cnn(:[3*])C
44~42,cdk8,6,OC1Cc2ccccc2C1,OC1Cc2ccccc2C1,N[1*]CC(O)C[2*]~N[1*]C[C@@H](O)CC[2*]
42~44,cdk8,6,OC1Cc2ccccc2C1,OC1Cc2ccccc2C1,N[1*]C[C@@H](O)CC[2*]~N[1*]CC(O)C[2*]
18~14,cdk8,10,Cn1ncc2cc(Cc3ccccc3)ccc21,CC(C)Cc1ccccc1,C[1*]c1ccc2c(cnn2C)c1~C[1*]C(C)C
14~18,cdk8,10,CC(C)Cc1ccccc1,Cn1ncc2cc(Cc3ccccc3)ccc21,C[1*]C(C)C~C[1*]c1ccc2c(cnn2C)c1
18~24,cdk8,7,CNC(=O)c1cccc2c1cnn2C,CC(=O)Nc1ccccc1-c1cnn(C)c1,c[1*]C(=O)NC.c[2*]:cnn(:[3*])C~c[1*]NC(C)=O.c[2*]c1cnn(C)c1
24~18,cdk8,7,CC(=O)Nc1ccccc1-c1cnn(C)c1,CNC(=O)c1cccc2c1cnn2C,c[1*]NC(C)=O.c[2*]c1cnn(C)c1~c[1*]C(=O)NC.c[2*]:cnn(:[3*])C
18~20,cdk8,10,Cn1ncc2ccccc21,CC(C)(O)Cn1cc(-c2ccccc2)cn1,c[1*]:cnn(:[2*])C~c[1*]c1cnn(CC(C)(C)O)c1
20~18,cdk8,10,CC(C)(O)Cn1cc(-c2ccccc2)cn1,Cn1ncc2ccccc21,c[1*]c1cnn(CC(C)(C)O)c1~c[1*]:cnn(:[2*])C
18~16,cdk8,4,Cn1ncc2ccccc21,Cc1ccccc1,c[1*]:cnn(:[2*])C~c[1*]C
16~18,cdk8,4,Cc1ccccc1,Cn1ncc2ccccc21,c[1*]C~c[1*]:cnn(:[2*])C
18~15,cdk8,6,Cn1ncc2ccccc21,COc1ccccc1OC,c[1*]:cnn(:[2*])C~c[1*]OC.c[2*]OC
