ref_perturbation,ref_target,num_ha_perturbed,newlig1_smi,newlig2_smi,input_smarts
32~29,cdk8,7,NC(=O)c1ccccc1,O=S(=O)(NC1CC1)c1ccccc1,c[1*]C(N)=O~c[1*]S(=O)(=O)NC1CC1
32~21,cdk8,6,NC(=O)c1ccccc1,Cn1cnc(-c2ccccc2)c1,c[1*]C(N)=O~c[1*]c1cn(C)cn1
32~37,cdk8,5,NCc1ccccc1,c1ccc(CN2CCCC2)cc1,C[1*]N~C[1*]N1CCCC1
32~34,cdk8,6,NCc1ccccc1,FC1(F)CN(Cc2ccccc2)C1,C[1*]N~C[1*]N1CC(F)(F)C1
32~39,cdk8,6,NCc1ccccc1,c1ccc(CN2CCOCC2)cc1,C[1*]N~C[1*]N1CCOCC1
32~22,cdk8,6,NC(=O)c1ccccc1,Cn1ccnc1-c1ccccc1,c[1*]C(N)=O~c[1*]c1nccn1C
32~38,cdk8,7,NCc1ccccc1,FC1(F)CCN(Cc2ccccc2)C1,C[1*]N~C[1*]N1CCC(F)(F)C1
32~27,cdk8,7,NC(=O)c1ccccc1,CC(=O)NCCNc1ccccc1,c[1*]C(N)=O~c[1*]NCCNC(C)=O
32~31,cdk8,7,NCc1ccccc1,O[C@@H]1CCN(Cc2ccccc2)C1,C[1*]N~C[1*]N1CC[C@@H](O)C1
32~23,cdk8,7,NC(=O)c1ccccc1,Nc1ccnc(-c2ccccc2)c1,c[1*]C(N)=O~c[1*]c1cc(N)ccn1
32~19,cdk8,1,c1ccccc1,CNc1ccccc1,~N[1*]C
33~40,cdk8,6,c1ccc(CNC2CC2)cc1,c1ccc(CN2CCNCC2)cc1,C[1*]NC1CC1~C[1*]N1CCNCC1
33~18,cdk8,9,Cn1cc(-c2ccccc2NC2CC2)cn1,CNc1cccc2c1cnn2C,c[1*]c1cnn(C)c1.N[2*]C1CC1~N[3*]C.c[1*]:cnn(:[2*])C
33~35,cdk8,5,c1ccc(CNC2CC2)cc1,OC1CN(Cc2ccccc2)C1,C[1*]NC1CC1~C[1*]N1CC(O)C1
33~30,cdk8,7,c1ccc(CNC2CC2)cc1,O[C]1CCN(Cc2ccccc2)C1,C[1*]NC1CC1~C[1*]N1CC[C@H](O)C1
33~24,cdk8,6,O=C(NC1CC1)c1ccccc1,CC(=O)Nc1ccccc1,c[1*]C(=O)NC1CC1~c[1*]NC(C)=O
33~25,cdk8,6,O=C(NC1CC1)c1ccccc1,CS(=O)(=O)Nc1ccccc1,c[1*]C(=O)NC1CC1~c[1*]NS(C)(=O)=O
33~41,cdk8,6,c1ccc(CNC2CC2)cc1,c1ccc(CN2CCCCC2)cc1,C[1*]NC1CC1~C[1*]N1CCCCC1
33~36,cdk8,6,c1ccc(CNC2CC2)cc1,COC1CN(Cc2ccccc2)C1,C[1*]NC1CC1~C[1*]N1CC(OC)C1
33~28,cdk8,1,O=C(NC1CC1)c1ccccc1,c1ccc(N2CCOCC2)cc1,c[1*]C(=O)NC1CC1~c[1*]N1CCOCC1
33~20,cdk8,5,c1ccc(NC2CC2)cc1,CNc1ccccc1CC(C)(C)O,N[1*]C1CC1~N[2*]C.C[1*]C(C)(C)O
33~16,cdk8,9,Cn1cc(-c2ccccc2NC2CC2)cn1,CNc1ccccc1C,c[1*]c1cnn(C)c1.N[2*]C1CC1~N[2*]C.c[1*]C
33~15,cdk8,10,Cn1cc(-c2ccccc2NC2CC2)cn1,CNc1cccc(OC)c1OC,c[1*]c1cnn(C)c1.N[2*]C1CC1~N[3*]C.c[1*]OC.c[2*]OC
33~26,cdk8,1,O=C(NC1CC1)c1ccccc1,O=C1CCCN1c1ccccc1,c[1*]C(=O)NC1CC1~c[1*]N1CCCC1=O
33~17,cdk8,9,Cn1cc(-c2ccccc2NC2CC2)cn1,CNc1cccc2cnn(C)c12,c[1*]c1cnn(C)c1.N[2*]C1CC1~N[3*]C.c[1*]:n(C)nc:[2*]
33~29,cdk8,7,O=C(NC1CC1)c1ccccc1,O=S(=O)(NC1CC1)c1ccccc1,c[1*]C(=O)NC1CC1~c[1*]S(=O)(=O)NC1CC1
33~21,cdk8,1,O=C(NC1CC1)c1ccccc1,Cn1cnc(-c2ccccc2)c1,c[1*]C(=O)NC1CC1~c[1*]c1cn(C)cn1
33~37,cdk8,5,c1ccc(CNC2CC2)cc1,c1ccc(CN2CCCC2)cc1,C[1*]NC1CC1~C[1*]N1CCCC1
33~34,cdk8,6,c1ccc(CNC2CC2)cc1,FC1(F)CN(Cc2ccccc2)C1,C[1*]NC1CC1~C[1*]N1CC(F)(F)C1
33~39,cdk8,6,c1ccc(CNC2CC2)cc1,c1ccc(CN2CCOCC2)cc1,C[1*]NC1CC1~C[1*]N1CCOCC1
33~22,cdk8,1,O=C(NC1CC1)c1ccccc1,Cn1ccnc1-c1ccccc1,c[1*]C(=O)NC1CC1~c[1*]c1nccn1C
33~38,cdk8,7,c1ccc(CNC2CC2)cc1,FC1(F)CCN(Cc2ccccc2)C1,C[1*]NC1CC1~C[1*]N1CCC(F)(F)C1
33~27,cdk8,7,O=C(NC1CC1)c1ccccc1,CC(=O)NCCNc1ccccc1,c[1*]C(=O)NC1CC1~c[1*]NCCNC(C)=O
33~31,cdk8,7,c1ccc(CNC2CC2)cc1,O[C@@H]1CCN(Cc2ccccc2)C1,C[1*]NC1CC1~C[1*]N1CC[C@@H](O)C1
33~23,cdk8,7,O=C(NC1CC1)c1ccccc1,Nc1ccnc(-c2ccccc2)c1,c[1*]C(=O)NC1CC1~c[1*]c1cc(N)ccn1
33~19,cdk8,3,c1ccc(NC2CC2)cc1,CNc1ccccc1,N[1*]C1CC1~N[1*]C
40~35,cdk8,5,c1ccc2c(c1)CCNC2,OC1Cc2ccccc2C1,N[1*]CCNCC[2*]~N[1*]CC(O)C[2*]
40~30,cdk8,6,c1ccc2c(c1)CCNC2,OC1Cc2ccccc2C1,N[1*]CCNCC[2*]~N[1*]C[C@@H](O)CC[2*]
40~24,cdk8,8,O=C(c1ccccc1)N1CCNCC1,CC(=O)Nc1ccccc1,c[1*]C(=O)N1CCNCC1~c[1*]NC(C)=O
40~25,cdk8,8,O=C(c1ccccc1)N1CCNCC1,CS(=O)(=O)Nc1ccccc1,c[1*]C(=O)N1CCNCC1~c[1*]NS(C)(=O)=O
40~41,cdk8,1,c1ccc2c(c1)CCNC2,c1ccc2c(c1)CCCC2,N[1*]CCNCC[2*]~N[1*]CCCCC[2*]
40~28,cdk8,8,O=C(c1ccccc1)N1CCNCC1,c1ccc(N2CCOCC2)cc1,c[1*]C(=O)N1CCNCC1~c[1*]N1CCOCC1
40~20,cdk8,8,c1ccc(CN2CCNCC2)cc1,CNCc1ccccc1CC(C)(C)O,C[1*]N1CCNCC1~C[2*]NC.C[1*]C(C)(C)O
40~26,cdk8,8,O=C(c1ccccc1)N1CCNCC1,O=C1CCCN1c1ccccc1,c[1*]C(=O)N1CCNCC1~c[1*]N1CCCC1=O
40~29,cdk8,8,O=C(c1ccccc1)N1CCNCC1,O=S(=O)(NC1CC1)c1ccccc1,c[1*]C(=O)N1CCNCC1~c[1*]S(=O)(=O)NC1CC1
40~21,cdk8,8,O=C(c1ccccc1)N1CCNCC1,Cn1cnc(-c2ccccc2)c1,c[1*]C(=O)N1CCNCC1~c[1*]c1cn(C)cn1
40~37,cdk8,5,c1ccc2c(c1)CCNC2,c1ccc2c(c1)CCCC2,N[1*]CCNCC[2*]~N[1*]CCCC[2*]
40~34,cdk8,1,c1ccc2c(c1)CCNC2,FC1(F)Cc2ccccc2C1,N[1*]CCNCC[2*]~N[1*]CC(F)(F)C[2*]
40~39,cdk8,1,c1ccc2c(c1)CCNC2,c1ccc2c(c1)CCOC2,N[1*]CCNCC[2*]~N[1*]CCOCC[2*]
40~22,cdk8,8,O=C(c1ccccc1)N1CCNCC1,Cn1ccnc1-c1ccccc1,c[1*]C(=O)N1CCNCC1~c[1*]c1nccn1C
40~38,cdk8,6,c1ccc2c(c1)CCNC2,FC1(F)CCc2ccccc2C1,N[1*]CCNCC[2*]~N[1*]CCC(F)(F)C[2*]
40~27,cdk8,8,O=C(c1ccccc1)N1CCNCC1,CC(=O)NCCNc1ccccc1,c[1*]C(=O)N1CCNCC1~c[1*]NCCNC(C)=O
40~31,cdk8,6,c1ccc2c(c1)CCNC2,OC1Cc2ccccc2C1,N[1*]CCNCC[2*]~N[1*]CC[C@@H](O)C[2*]
40~23,cdk8,8,O=C(c1ccccc1)N1CCNCC1,Nc1ccnc(-c2ccccc2)c1,c[1*]C(=O)N1CCNCC1~c[1*]c1cc(N)ccn1
40~19,cdk8,6,c1ccc(CN2CCNCC2)cc1,CNCc1ccccc1,C[1*]N1CCNCC1~C[1*]NC
44~18,cdk8,5,OC1CN(Cc2ccccc2)C1,CNCc1ccccc1,C[1*]N1CC(O)C1~C[1*]NC
44~35,cdk8,6,Cn1ncc2ccccc21,Cn1cc(-c2ccccc2)cn1,c[1*]:cnn(:[2*])C~c[1*]c1cnn(C)c1
44~36,cdk8,7,Cn1ncc2ccccc21,COc1ccccc1-c1cnn(C)c1,c[1*]:cnn(:[2*])C~c[1*]c1cnn(C)c1.O[2*]C
44~16,cdk8,9,Cn1ncc2c(CN3CC(O)C3)cccc21,CNCc1ccccc1C,C[3*]N1CC(O)C1.c[1*]:cnn(:[2*])C~C[2*]NC.c[1*]C
44~17,cdk8,6,Cn1ncc2c(CN3CC(O)C3)cccc21,CNCc1cccc2cnn(C)c12,C[3*]N1CC(O)C1.c[1*]:cnn(:[2*])C~C[3*]NC.c[1*]:n(C)nc:[2*]
44~45,cdk8,1,c1ccccc1,COc1ccccc1,~O[1*]C
44~43,cdk8,6,OC1Cc2ccccc2C1,FC1(F)CCc2ccccc2C1,N[1*]CC(O)C[2*]~N[1*]CC(F)(F)CC[2*]
44~29,cdk8,7,Cn1ncc2c(C(=O)N3CC(O)C3)cccc21,Cn1cc(-c2ccccc2S(=O)(=O)NC2CC2)cn1,c[1*]C(=O)N1CC(O)C1.c[2*]:cnn(:[3*])C~c[1*]S(=O)(=O)NC1CC1.c[2*]c1cnn(C)c1
44~34,cdk8,8,Cn1ncc2c(O)cccc21,Cn1cc(-c2cccc(CF)c2CF)cn1,c[1*]:cnn(:[2*])C.c[3*]O~c[1*]c1cnn(C)c1.C[2*]F.C[3*]F
44~27,cdk8,7,Cn1ncc2c(C(=O)N3CC(O)C3)cccc21,CC(=O)NCCNc1ccccc1-c1cnn(C)c1,c[1*]C(=O)N1CC(O)C1.c[2*]:cnn(:[3*])C~c[1*]NCCNC(C)=O.c[2*]c1cnn(C)c1
44~23,cdk8,7,Cn1ncc2c(C(=O)N3CC(O)C3)cccc21,Cn1cc(-c2ccccc2-c2cc(N)ccn2)cn1,c[1*]C(=O)N1CC(O)C1.c[2*]:cnn(:[3*])C~c[1*]c1cc(N)ccn1.c[2*]c1cnn(C)c1
44~42,cdk8,6,OC1Cc2ccccc2C1,OC1Cc2ccccc2C1,N[1*]CC(O)C[2*]~N[1*]C[C@@H](O)CC[2*]
18~14,cdk8,10,Cn1ncc2cc(Cc3ccccc3)ccc21,CC(C)Cc1ccccc1,C[1*]c1ccc2c(cnn2C)c1~C[1*]C(C)C
18~24,cdk8,7,CNC(=O)c1cccc2c1cnn2C,CC(=O)Nc1ccccc1-c1cnn(C)c1,c[1*]C(=O)NC.c[2*]:cnn(:[3*])C~c[1*]NC(C)=O.c[2*]c1cnn(C)c1
18~20,cdk8,10,Cn1ncc2ccccc21,CC(C)(O)Cn1cc(-c2ccccc2)cn1,c[1*]:cnn(:[2*])C~c[1*]c1cnn(CC(C)(C)O)c1
18~16,cdk8,4,Cn1ncc2ccccc21,Cc1ccccc1,c[1*]:cnn(:[2*])C~c[1*]C
18~15,cdk8,6,Cn1ncc2ccccc21,COc1ccccc1OC,c[1*]:cnn(:[2*])C~c[1*]OC.c[2*]OC
18~17,cdk8,1,Cn1ncc2ccccc21,Cn1ncc2ccccc21,c[1*]:cnn(:[2*])C~c[1*]:n(C)nc:[2*]
18~45,cdk8,6,CNCc1ccccc1,COC1CN(Cc2ccccc2)C1,C[1*]NC~C[1*]N1CC(OC)C1
18~43,cdk8,7,CNCc1ccccc1,FC1(F)CCN(Cc2ccccc2)C1,C[1*]NC~C[1*]N1CCC(F)(F)C1
18~42,cdk8,7,CNCc1ccccc1,O[C]1CCN(Cc2ccccc2)C1,C[1*]NC~C[1*]N1CC[C@H](O)C1
35~24,cdk8,7,O=C(c1ccccc1)N1CC(O)C1,CC(=O)Nc1ccccc1,c[1*]C(=O)N1CC(O)C1~c[1*]NC(C)=O
35~25,cdk8,7,O=C(c1ccccc1)N1CC(O)C1,CS(=O)(=O)Nc1ccccc1,c[1*]C(=O)N1CC(O)C1~c[1*]NS(C)(=O)=O
35~41,cdk8,5,OC1Cc2ccccc2C1,c1ccc2c(c1)CCCC2,N[1*]CC(O)C[2*]~N[1*]CCCCC[2*]
35~28,cdk8,7,O=C(c1ccccc1)N1CC(O)C1,c1ccc(N2CCOCC2)cc1,c[1*]C(=O)N1CC(O)C1~c[1*]N1CCOCC1
35~20,cdk8,7,OC1CN(Cc2ccccc2)C1,CNCc1ccccc1CC(C)(C)O,C[1*]N1CC(O)C1~C[2*]NC.C[1*]C(C)(C)O
35~26,cdk8,7,O=C(c1ccccc1)N1CC(O)C1,O=C1CCCN1c1ccccc1,c[1*]C(=O)N1CC(O)C1~c[1*]N1CCCC1=O
35~45,cdk8,7,Cn1cc(-c2ccccc2)cn1,Cc1cccc2c1cnn2C,c[1*]c1cnn(C)c1~c[1*]:cnn(:[2*])C.c[3*]C
35~29,cdk8,1,O=C(c1ccccc1)N1CC(O)C1,O=S(=O)(NC1CC1)c1ccccc1,c[1*]C(=O)N1CC(O)C1~c[1*]S(=O)(=O)NC1CC1
35~21,cdk8,7,O=C(c1ccccc1)N1CC(O)C1,Cn1cnc(-c2ccccc2)c1,c[1*]C(=O)N1CC(O)C1~c[1*]c1cn(C)cn1
35~37,cdk8,1,OC1Cc2ccccc2C1,c1ccc2c(c1)CCCC2,N[1*]CC(O)C[2*]~N[1*]CCCC[2*]
35~34,cdk8,2,OCc1ccccc1,FCc1ccccc1CF,C[1*]O~C[1*]F.C[2*]F
35~39,cdk8,5,OC1Cc2ccccc2C1,c1ccc2c(c1)CCOC2,N[1*]CC(O)C[2*]~N[1*]CCOCC[2*]
35~22,cdk8,7,O=C(c1ccccc1)N1CC(O)C1,Cn1ccnc1-c1ccccc1,c[1*]C(=O)N1CC(O)C1~c[1*]c1nccn1C
35~38,cdk8,6,OC1Cc2ccccc2C1,FC1(F)CCc2ccccc2C1,N[1*]CC(O)C[2*]~N[1*]CCC(F)(F)C[2*]
35~27,cdk8,1,O=C(c1ccccc1)N1CC(O)C1,CC(=O)NCCNc1ccccc1,c[1*]C(=O)N1CC(O)C1~c[1*]NCCNC(C)=O
35~31,cdk8,6,OC1Cc2ccccc2C1,OC1Cc2ccccc2C1,N[1*]CC(O)C[2*]~N[1*]CC[C@@H](O)C[2*]
35~23,cdk8,1,O=C(c1ccccc1)N1CC(O)C1,Nc1ccnc(-c2ccccc2)c1,c[1*]C(=O)N1CC(O)C1~c[1*]c1cc(N)ccn1
14~16,cdk8,7,CC(C)Cc1ccccc1,Cc1cccc(Cc2ccccc2)c1,C[1*]C(C)C~C[1*]c1cccc(C)c1
14~15,cdk8,10,CC(C)Cc1ccccc1,COc1ccc(Cc2ccccc2)cc1OC,C[1*]C(C)C~C[1*]c1ccc(OC)c(OC)c1
14~17,cdk8,10,CC(C)Cc1ccccc1,Cn1ncc2ccc(Cc3ccccc3)cc21,C[1*]C(C)C~C[1*]c1ccc2cnn(C)c2c1
30~24,cdk8,9,O=C(c1ccccc1)N1CC[C](O)C1,CC(=O)Nc1ccccc1,c[1*]C(=O)N1CC[C@H](O)C1~c[1*]NC(C)=O
30~25,cdk8,9,O=C(c1ccccc1)N1CC[C](O)C1,CS(=O)(=O)Nc1ccccc1,c[1*]C(=O)N1CC[C@H](O)C1~c[1*]NS(C)(=O)=O
30~41,cdk8,6,O[C]1CCc2ccccc2C1,c1ccc2c(c1)CCCC2,N[1*]CC[C@H](O)C[2*]~N[1*]CCCCC[2*]
30~28,cdk8,9,O=C(c1ccccc1)N1CC[C](O)C1,c1ccc(N2CCOCC2)cc1,c[1*]C(=O)N1CC[C@H](O)C1~c[1*]N1CCOCC1
30~13,cdk8,7,Cn1cc(-c2ccccc2)cn1,Cc1ccccc1O,c[1*]c1cnn(C)c1~c[1*]O.c[2*]C
30~20,cdk8,9,O[C]1CCN(Cc2ccccc2)C1,CNCc1ccccc1CC(C)(C)O,C[1*]N1CC[C@H](O)C1~C[2*]NC.C[1*]C(C)(C)O
30~26,cdk8,9,O=C(c1ccccc1)N1CC[C](O)C1,O=C1CCCN1c1ccccc1,c[1*]C(=O)N1CC[C@H](O)C1~c[1*]N1CCCC1=O
30~43,cdk8,8,Cn1cc(-c2ccccc2CO)cn1,Cn1ncc2c(F)c(CF)ccc21,c[1*]c1cnn(C)c1.CH[2*]O~c[1*]:cnn(:[2*])C.c[4*]F.C[3*]F
30~29,cdk8,9,O=C(c1ccccc1)N1CC[C](O)C1,O=S(=O)(NC1CC1)c1ccccc1,c[1*]C(=O)N1CC[C@H](O)C1~c[1*]S(=O)(=O)NC1CC1
30~21,cdk8,9,O=C(c1ccccc1)N1CC[C](O)C1,Cn1cnc(-c2ccccc2)c1,c[1*]C(=O)N1CC[C@H](O)C1~c[1*]c1cn(C)cn1
30~37,cdk8,1,OCc1ccccc1,c1ccccc1,CH[1*]O~
30~34,cdk8,6,O[C]1CCc2ccccc2C1,FC1(F)Cc2ccccc2C1,N[1*]CC[C@H](O)C[2*]~N[1*]CC(F)(F)C[2*]
30~39,cdk8,6,OC1Cc2ccccc2C1,c1ccc2c(c1)CCOC2,N[1*]C[C@@H](O)CC[2*]~N[1*]CCOCC[2*]
30~22,cdk8,9,O=C(c1ccccc1)N1CC[C](O)C1,Cn1ccnc1-c1ccccc1,c[1*]C(=O)N1CC[C@H](O)C1~c[1*]c1nccn1C
30~38,cdk8,2,OCc1ccccc1,FCc1ccccc1CF,CH[1*]O~C[1*]F.C[2*]F
30~27,cdk8,9,O=C(c1ccccc1)N1CC[C](O)C1,CC(=O)NCCNc1ccccc1,c[1*]C(=O)N1CC[C@H](O)C1~c[1*]NCCNC(C)=O
30~31,cdk8,1,c1ccccc1,c1ccccc1,~
30~23,cdk8,9,O=C(c1ccccc1)N1CC[C](O)C1,Nc1ccnc(-c2ccccc2)c1,c[1*]C(=O)N1CC[C@H](O)C1~c[1*]c1cc(N)ccn1
30~42,cdk8,6,Cn1cc(-c2ccccc2)cn1,Cn1ncc2ccccc21,c[1*]c1cnn(C)c1~c[1*]:cnn(:[2*])C
30~19,cdk8,7,O[C]1CCN(Cc2ccccc2)C1,CNCc1ccccc1,C[1*]N1CC[C@H](O)C1~C[1*]NC
24~25,cdk8,4,CC(=O)Nc1ccccc1,CS(=O)(=O)Nc1ccccc1,N[1*]C(C)=O~N[1*]S(C)(=O)=O
24~41,cdk8,8,CC(=O)Nc1ccccc1,O=C(c1ccccc1)N1CCCCC1,c[1*]NC(C)=O~c[1*]C(=O)N1CCCCC1
24~36,cdk8,8,CC(=O)Nc1ccccc1,COC1CN(C(=O)c2ccccc2)C1,c[1*]NC(C)=O~c[1*]C(=O)N1CC(OC)C1
24~28,cdk8,6,CC(=O)Nc1ccccc1,c1ccc(N2CCOCC2)cc1,c[1*]NC(C)=O~c[1*]N1CCOCC1
24~20,cdk8,5,CC(=O)Nc1ccccc1,CNC(=O)c1ccccc1CC(C)(C)O,c[1*]NC(C)=O~c[1*]C(=O)NC.C[2*]C(C)(C)O
24~16,cdk8,7,CC(=O)Nc1ccccc1-c1cnn(C)c1,CNC(=O)c1ccccc1C,c[1*]NC(C)=O.c[2*]c1cnn(C)c1~c[1*]C(=O)NC.c[2*]C
24~15,cdk8,9,CC(=O)Nc1ccccc1-c1cnn(C)c1,CNC(=O)c1cccc(OC)c1OC,c[1*]NC(C)=O.c[2*]c1cnn(C)c1~c[1*]C(=O)NC.c[2*]OC.c[3*]OC
24~26,cdk8,6,CC(=O)Nc1ccccc1,O=C1CCCN1c1ccccc1,c[1*]NC(C)=O~c[1*]N1CCCC1=O
24~17,cdk8,7,CC(=O)Nc1ccccc1-c1cnn(C)c1,CNC(=O)c1cccc2cnn(C)c12,c[1*]NC(C)=O.c[2*]c1cnn(C)c1~c[1*]C(=O)NC.c[2*]:n(C)nc:[3*]
24~29,cdk8,7,CC(=O)Nc1ccccc1,O=S(=O)(NC1CC1)c1ccccc1,c[1*]NC(C)=O~c[1*]S(=O)(=O)NC1CC1
24~21,cdk8,6,CC(=O)Nc1ccccc1,Cn1cnc(-c2ccccc2)c1,c[1*]NC(C)=O~c[1*]c1cn(C)cn1
24~37,cdk8,7,CC(=O)Nc1ccccc1,O=C(c1ccccc1)N1CCCC1,c[1*]NC(C)=O~c[1*]C(=O)N1CCCC1
24~34,cdk8,8,CC(=O)Nc1ccccc1,O=C(c1ccccc1)N1CC(F)(F)C1,c[1*]NC(C)=O~c[1*]C(=O)N1CC(F)(F)C1
24~39,cdk8,8,CC(=O)Nc1ccccc1,O=C(c1ccccc1)N1CCOCC1,c[1*]NC(C)=O~c[1*]C(=O)N1CCOCC1
24~22,cdk8,6,CC(=O)Nc1ccccc1,Cn1ccnc1-c1ccccc1,c[1*]NC(C)=O~c[1*]c1nccn1C
24~38,cdk8,9,CC(=O)Nc1ccccc1,O=C(c1ccccc1)N1CCC(F)(F)C1,c[1*]NC(C)=O~c[1*]C(=O)N1CCC(F)(F)C1
24~27,cdk8,4,O=Cc1ccccc1,CC(=O)NCc1ccccc1,C[1*]=O~C[1*]NC(C)=O
24~31,cdk8,9,CC(=O)Nc1ccccc1,O=C(c1ccccc1)N1CC[C@@H](O)C1,c[1*]NC(C)=O~c[1*]C(=O)N1CC[C@@H](O)C1
24~23,cdk8,7,CC(=O)Nc1ccccc1,Nc1ccnc(-c2ccccc2)c1,c[1*]NC(C)=O~c[1*]c1cc(N)ccn1
24~19,cdk8,1,CC(=O)Nc1ccccc1,CNC(=O)c1ccccc1,c[1*]NC(C)=O~c[1*]C(=O)NC
25~41,cdk8,8,CS(=O)(=O)Nc1ccccc1,O=C(c1ccccc1)N1CCCCC1,c[1*]NS(C)(=O)=O~c[1*]C(=O)N1CCCCC1
25~36,cdk8,8,CS(=O)(=O)Nc1ccccc1,COC1CN(C(=O)c2ccccc2)C1,c[1*]NS(C)(=O)=O~c[1*]C(=O)N1CC(OC)C1
25~28,cdk8,6,CS(=O)(=O)Nc1ccccc1,c1ccc(N2CCOCC2)cc1,c[1*]NS(C)(=O)=O~c[1*]N1CCOCC1
25~20,cdk8,9,CS(=O)(=O)Nc1ccccc1,CNC(=O)c1ccccc1CC(C)(C)O,c[1*]NS(C)(=O)=O~c[1*]C(=O)NC.C[2*]C(C)(C)O
25~26,cdk8,6,CS(=O)(=O)Nc1ccccc1,O=C1CCCN1c1ccccc1,c[1*]NS(C)(=O)=O~c[1*]N1CCCC1=O
25~29,cdk8,7,CS(=O)(=O)Nc1ccccc1,O=S(=O)(NC1CC1)c1ccccc1,c[1*]NS(C)(=O)=O~c[1*]S(=O)(=O)NC1CC1
25~21,cdk8,6,CS(=O)(=O)Nc1ccccc1,Cn1cnc(-c2ccccc2)c1,c[1*]NS(C)(=O)=O~c[1*]c1cn(C)cn1
25~37,cdk8,7,CS(=O)(=O)Nc1ccccc1,O=C(c1ccccc1)N1CCCC1,c[1*]NS(C)(=O)=O~c[1*]C(=O)N1CCCC1
25~34,cdk8,8,CS(=O)(=O)Nc1ccccc1,O=C(c1ccccc1)N1CC(F)(F)C1,c[1*]NS(C)(=O)=O~c[1*]C(=O)N1CC(F)(F)C1
25~39,cdk8,8,CS(=O)(=O)Nc1ccccc1,O=C(c1ccccc1)N1CCOCC1,c[1*]NS(C)(=O)=O~c[1*]C(=O)N1CCOCC1
25~22,cdk8,6,CS(=O)(=O)Nc1ccccc1,Cn1ccnc1-c1ccccc1,c[1*]NS(C)(=O)=O~c[1*]c1nccn1C
25~38,cdk8,9,CS(=O)(=O)Nc1ccccc1,O=C(c1ccccc1)N1CCC(F)(F)C1,c[1*]NS(C)(=O)=O~c[1*]C(=O)N1CCC(F)(F)C1
25~27,cdk8,6,CS(=O)(=O)Nc1ccccc1,CC(=O)NCCNc1ccccc1,N[1*]S(C)(=O)=O~N[1*]CCNC(C)=O
25~31,cdk8,9,CS(=O)(=O)Nc1ccccc1,O=C(c1ccccc1)N1CC[C@@H](O)C1,c[1*]NS(C)(=O)=O~c[1*]C(=O)N1CC[C@@H](O)C1
25~23,cdk8,7,CS(=O)(=O)Nc1ccccc1,Nc1ccnc(-c2ccccc2)c1,c[1*]NS(C)(=O)=O~c[1*]c1cc(N)ccn1
25~19,cdk8,5,CS(=O)(=O)Nc1ccccc1,CNC(=O)c1ccccc1,c[1*]NS(C)(=O)=O~c[1*]C(=O)NC
41~28,cdk8,8,O=C(c1ccccc1)N1CCCCC1,c1ccc(N2CCOCC2)cc1,c[1*]C(=O)N1CCCCC1~c[1*]N1CCOCC1
41~20,cdk8,8,c1ccc(CN2CCCCC2)cc1,CNCc1ccccc1CC(C)(C)O,C[1*]N1CCCCC1~C[2*]NC.C[1*]C(C)(C)O
41~26,cdk8,8,O=C(c1ccccc1)N1CCCCC1,O=C1CCCN1c1ccccc1,c[1*]C(=O)N1CCCCC1~c[1*]N1CCCC1=O
